22445,46040000,52339000
22446,52374000,-26040000
363,-23459000,10378000
363,10378000,44215000
22447,44784000,47392000
22448,47392000,53680000
365,2221000,-22414000
78,-20254000,24338000
109,40274000,-5098000
255,50771000,54013000
23610,54064000,56844000
17,-26521000,-22557000
19441,48528000,50473000
19442,50508000,54564000
61,55449000,-26395000
133,-25570000,-22915000
39,-20465000,-9424000
45,-9424000,-4871000
3,-449000,56746000
27,57013000,-27118000
529,-23237000,-9158000
23963,-9158000,-24023000
23964,-23149000,-13828000
27,-13199000,-2723000
61,7674000,20394000
61,20394000,33113000
19443,36923000,39548000
462,39548000,50225000
49,-28244000,-24741000
51,-22659000,-20662000
47,35536000,48304000
47,48304000,-25327000
47,-25327000,-12559000
78,-12079000,33329000
47,33784000,54620000
47,54620000,-10943000
331,-14338000,54508000
331,54508000,36953000
22454,39687000,42278000
22455,43623000,-24891000
488,-24891000,40326000
331,40517000,-18591000
52,-20295000,7976000
61,8241000,21439000
61,21439000,34636000
52,34946000,46019000
52,46019000,57092000
372,-25578000,-19688000
537,-18670000,38750000
25354,40215000,48950000
532,-19221000,28374000
555,28584000,-17700000
537,-16275000,28536000
532,28866000,-17530000
24330,54210000,56542000
256,-24740000,-14245000
256,-14245000,-3751000
61,8689000,51684000
82,34575000,43794000
61,48684000,55056000
125,42064000,46107000
128,46639000,52598000
124,54592000,56698000
21526,57098000,-14757000
127,-13315000,-9985000
124,-6710000,51784000
256,-14245000,-3751000
61,8689000,51684000
82,34575000,43794000
61,48684000,55056000
82,55456000,8431000
82,8431000,47805000
48,-18970000,-12295000
78,-11593000,33831000
47,34775000,39121000
47,39121000,43466000
48,43466000,-24115000
47,-24115000,-21956000
4,-12926000,29716000
20974,36345000,-16915000
48,-15206000,-12930000
4,-12600000,32430000
20975,34184000,50326000
20976,57262000,-18876000
546,-5783000,6466000
546,6466000,18715000
546,18715000,30964000
23616,32016000,-13858000
546,-12994000,28206000
82,30574000,-17966000
23973,9812000,-20493000
23974,-20238000,-7423000
25,-7405000,-5397000
23975,-2378000,-394000
25,-394000,1621000
26,1621000,-22040000
13,35454000,-364000
95,249000,34013000
18,34742000,-5855000
128,-4508000,35851000
13,36539000,-1373000
95,-1373000,35005000
48,35180000,40739000
47,40739000,-10362000
78,-9864000,33787000
47,34126000,45522000
47,45522000,56918000
47,56918000,-18086000
52,-25572000,3755000
61,4100000,19508000
61,19508000,34916000
372,39130000,51213000
52,55143000,-23658000
49,-22333000,-13071000
545,-9028000,-6471000
23980,2759000,12354000
27,12354000,14234000
19,15030000,22513000
23981,-5982000,-3980000
23982,-1474000,2005000
82,33235000,-18236000
546,-17006000,6363000
546,6363000,29731000
546,29731000,53100000
255,54564000,57080000
82,29722000,-5519000
36,-14536000,-10577000
52,-9002000,12245000
61,12680000,39475000
19708,42546000,51112000
19709,56962000,-23463000
356,-23463000,-6059000
27,12354000,14234000
19,15030000,22513000
23981,-5982000,-3980000
23982,-1474000,2005000
28,5031000,9127000
19,10916000,19085000
52,-16961000,1016000
61,1491000,21503000
21264,27355000,30430000
61,33300000,51050000
52,51580000,-22957000
61,-22662000,-20686000
544,42888000,55186000
82,33090000,-10464000
544,-9516000,11199000
544,11199000,31913000
544,31913000,52628000
544,52628000,-13057000
21529,40738000,43373000
21530,45248000,54643000
128,55143000,-20006000
21531,-18486000,-13133000
127,-12068000,-7597000
127,-7597000,-3127000
52,-18522000,6472000
61,6972000,35162000
52,36752000,43346000
52,43346000,49939000
19449,51939000,56483000
52,-27157000,-10017000
23987,-26548000,-15472000
233,-14083000,12736000
246,14290000,21246000
204,21246000,56127000
23988,-28780000,-17307000
233,-14004000,-5472000
92,31112000,-6135000
546,-3941000,31228000
23621,33553000,-19026000
546,-16775000,-13415000
546,-13415000,-10056000
82,30578000,-15116000
25918,-14725000,27880000
300,28394000,2691000
300,2691000,-23013000
284,-22259000,28491000
320,41426000,49204000
300,50784000,-23906000
50,-26529000,-24302000
52,-23912000,-11350000
61,-10930000,24537000
331,27427000,48874000
61,50754000,52848000
52,53713000,-11586000
82,36872000,4625000
61,5432000,35820000
91,37001000,-19765000
61,-17121000,-10434000
82,-9025000,1529000
61,3064000,36690000
233,8916000,-6163000
26,-5454000,32121000
26,32121000,-16704000
32,-15709000,-13472000
23992,-12030000,4453000
0,-18254000,-14581000
26,-5454000,32121000
26,32121000,-16704000
32,-15709000,-13472000
23992,-12030000,4453000
0,-18254000,-14581000
27,-13917000,821000
52,-17544000,-7455000
52,-7455000,2634000
19711,2699000,5254000
61,5876000,47173000
55,47788000,-21395000
52,-19048000,-11165000
52,34915000,-26531000
52,-26531000,-1577000
69,-997000,33677000
52,34337000,49706000
52,49706000,-21326000
51,-21101000,-18237000
355,28564000,56924000
355,56924000,-1116000
61,1227000,28761000
82,30663000,5329000
61,6121000,31273000
26392,33443000,40709000
61,1227000,28761000
82,30663000,5329000
61,6121000,31273000
26392,33443000,40709000
91,43598000,8999000
61,9663000,30275000
25055,34405000,-18701000
251,-15895000,-13355000
82,28780000,-17656000
25056,-16605000,-12984000
25057,-12457000,-8504000
25058,-8030000,-5622000
20994,47903000,-26110000
20995,-26110000,-23144000
20996,-21472000,-18680000
48,-16683000,-14196000
6,-11944000,-9825000
3,-9825000,-7695000
124,13009000,23203000
124,23203000,33397000
128,35277000,45446000
125,45446000,47731000
125,47731000,50016000
128,50211000,5308000
207,-7522000,-3111000
23995,8870000,15227000
23996,16709000,-26688000
233,-25342000,-20134000
33,-17611000,-3325000
23997,329000,6413000
74,38588000,41218000
51,44618000,49868000
61,51063000,56136000
51,57011000,-21054000
51,-21054000,-12719000
52,-10554000,5883000
26393,-22262000,-7629000
82,-6362000,-3126000
61,-2239000,33191000
82,33902000,44837000
51,-14894000,-27578000
91,-27578000,-25084000
282,-17609000,-13724000
25924,-13724000,-11125000
25925,-11125000,-8333000
284,-3243000,-690000
294,-690000,2229000
293,2944000,5814000
25069,-19819000,25354000
25070,26272000,28589000
377,28589000,30874000
25071,31442000,-28106000
25072,-21881000,-5725000
25073,-5487000,54743000
51,6083000,8307000
61,8727000,41425000
36,44711000,48577000
33,48952000,56461000
19712,56461000,-22178000
372,-22178000,-13275000
128,-17314000,29277000
128,29277000,-10532000
128,-10532000,36059000
128,36059000,-3750000
128,-3750000,42841000
128,42841000,3032000
255,42677000,56037000
256,-24059000,4328000
61,5093000,38136000
82,38841000,514000
19,-20434000,-11100000
82,-6108000,432000
21535,46885000,48969000
